                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.7588,                0.62461,                0.99856,                0.90229,                0.86161,                0.91591,                0.75844,                0.68056,                0.50243,                0.90421,               0.002872,               0.002872,               0.002872
                     74,                0.79794,                0.66166,                 1.0003,                0.91249,                0.85463,                0.91577,                 0.7653,                0.67984,                0.50337,                0.90325,               0.002773,               0.002773,               0.002773
                     75,                0.80297,                0.63763,                 1.0217,                0.90168,                0.85836,                0.91616,                0.76674,                0.67089,                0.50058,                0.90042,               0.002674,               0.002674,               0.002674
                     76,                0.79895,                0.62606,                 1.0003,                0.92973,                0.83532,                 0.9127,                0.76623,                0.67452,                0.50151,                0.89992,               0.002575,               0.002575,               0.002575
                     77,                0.81011,                 0.6377,                0.98924,                0.93091,                0.83993,                0.91715,                0.76418,                0.67717,                0.49158,                0.89885,               0.002476,               0.002476,               0.002476
                     78,                0.77408,                0.63334,                0.99439,                0.93755,                0.83595,                0.91867,                0.76834,                 0.6666,                0.48298,                 0.8956,               0.002377,               0.002377,               0.002377
                     79,                0.76499,                  0.614,                0.98697,                 0.9197,                0.83604,                0.91548,                0.76673,                 0.6629,                0.48239,                0.89408,               0.002278,               0.002278,               0.002278
                     80,                0.78589,                0.62298,                0.98947,                0.93004,                0.84462,                0.92058,                0.76327,                0.66195,                 0.4801,                0.89285,               0.002179,               0.002179,               0.002179
                     81,                0.78053,                0.62051,                0.99307,                0.94102,                0.84118,                0.91918,                0.76704,                0.65774,                0.47803,                0.89185,                0.00208,                0.00208,                0.00208
                     82,                0.75462,                0.61139,                0.98311,                0.93397,                0.84774,                0.92274,                0.77121,                0.64458,                0.46617,                0.88677,               0.001981,               0.001981,               0.001981
                     83,                0.75066,                0.58758,                0.98183,                0.93561,                0.85531,                0.92473,                0.77473,                0.64193,                0.46184,                0.88473,               0.001882,               0.001882,               0.001882
